Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
94,IT,32,51872,18,33,59,Yes
95,HR,35,66708,7,30,49,No
96,IT,40,45800,5,44,51,No
97,Marketing,36,68397,7,54,95,No
98,Finance,49,62909,17,44,72,No
99,Finance,45,46352,4,30,95,Yes
100,HR,29,118848,16,49,64,No
101,Sales,30,40438,19,32,64,Yes
102,HR,54,113921,10,52,92,Yes
103,Sales,54,69999,3,34,43,Yes
104,Finance,40,43482,3,34,43,No
105,HR,24,57471,17,33,48,Yes
106,Marketing,31,72279,10,46,54,No
107,IT,22,79213,17,50,95,No
108,Sales,50,38026,17,49,65,No
109,IT,55,110184,4,43,54,Yes
110,IT,34,30435,6,55,65,Yes
111,HR,22,33493,12,58,67,No
112,IT,55,97227,17,37,46,No
113,Marketing,50,84321,17,31,71,Yes
114,IT,34,27763,10,37,51,No
115,HR,50,45389,7,30,74,No
116,Marketing,45,56498,16,58,91,No
117,Finance,47,88755,13,33,71,No
118,IT,38,60825,3,48,48,No
119,HR,28,41934,2,34,53,No
120,Finance,34,30574,16,58,52,No
121,Finance,26,63179,6,34,95,No
122,Sales,47,26587,6,50,99,No
123,Marketing,24,67782,13,57,83,No
124,IT,28,79412,7,49,72,No
125,HR,22,85561,5,53,71,Yes
126,Sales,38,102224,7,48,58,Yes
127,Marketing,46,29409,2,41,69,No
128,Sales,24,96319,17,49,55,No
129,Marketing,36,51751,13,30,51,No
130,Marketing,50,63174,16,36,49,No
131,IT,53,81572,2,46,41,No
132,Marketing,47,86416,5,31,57,Yes
133,Sales,37,37041,18,40,52,No
134,Marketing,46,48227,7,36,68,No
135,IT,49,60201,11,46,63,No
136,IT,30,61069,11,56,77,No
137,Sales,22,107190,17,32,51,Yes
138,Finance,50,51370,16,58,99,No
139,Finance,43,36586,13,51,99,No
140,Marketing,37,75231,5,35,68,Yes
141,HR,28,30322,16,51,61,No
142,Marketing,35,90294,16,40,75,No
143,Sales,50,104468,16,58,40,No
144,Sales,40,54299,14,47,82,No
145,Sales,40,115715,6,47,94,No
146,Sales,23,95793,2,51,79,No
147,Sales,36,71501,14,39,73,Yes
148,IT,24,82134,16,34,73,No
149,Finance,32,34777,13,59,87,Yes
150,Sales,51,36249,15,52,72,No
151,HR,39,46390,12,52,43,No
152,HR,23,45369,9,50,77,No
153,HR,53,37881,18,53,69,No
154,HR,29,34587,14,55,92,Yes
155,IT,43,118800,4,51,91,No
156,HR,27,99327,8,44,85,No
157,Sales,33,112911,8,50,59,No
158,Marketing,57,113147,16,49,65,No
159,HR,36,32833,10,52,54,No
160,IT,49,72013,17,33,46,No
161,IT,39,88620,1,50,46,No
162,HR,23,40754,18,50,89,No
163,Marketing,34,103113,10,30,68,No
164,HR,36,111784,4,44,62,No
165,IT,41,60282,1,46,73,No
166,Finance,50,61737,4,48,59,Yes
167,Sales,50,49124,4,43,54,Yes
168,IT,24,95102,4,56,72,No
169,HR,40,27196,17,48,92,Yes
170,Sales,24,86527,9,47,56,Yes
171,HR,35,110395,19,57,59,No
172,HR,25,36345,13,31,96,Yes
173,Finance,32,59077,4,35,52,No
174,Sales,52,91400,5,42,83,No
175,Sales,53,37055,13,46,63,No
176,Finance,48,110283,16,35,93,Yes
177,IT,51,69484,5,50,86,No
178,HR,23,102514,8,51,95,No
179,Marketing,30,115135,16,34,76,No
180,HR,49,60771,1,36,46,No
181,HR,52,82654,6,30,47,Yes
182,IT,55,71540,11,42,62,No
183,HR,36,108151,16,48,53,Yes
184,Finance,46,54377,5,51,43,No
185,Finance,57,74573,16,30,60,No
186,Sales,29,67733,7,42,85,No
187,Marketing,30,36760,19,40,49,No
188,HR,58,50762,1,56,61,No
189,HR,53,75986,9,36,69,No
190,IT,38,59332,18,49,69,No
191,Finance,56,65100,13,32,99,No
192,Marketing,58,29944,15,55,55,No
193,Sales,40,73825,3,54,50,No
194,Finance,50,38877,10,30,61,No
195,Sales,28,54990,9,37,68,No
196,IT,49,80283,13,46,64,No
197,IT,30,28258,16,42,97,Yes
198,HR,49,56629,3,43,53,No
199,Marketing,27,62579,15,34,53,Yes
200,Sales,50,47958,17,55,41,No
201,Finance,38,64465,14,53,93,No
202,IT,37,110853,7,51,52,No
203,HR,44,40775,16,52,42,No
204,HR,52,101575,8,56,69,No
205,Sales,24,119633,4,53,57,No
206,IT,42,59207,15,58,93,No
207,Marketing,47,47553,5,35,75,No
208,IT,57,78632,13,56,60,No
209,Sales,58,25055,6,51,92,Yes
210,Sales,43,113697,5,56,58,No
211,IT,33,57873,17,35,55,No
212,Sales,34,105720,7,50,67,No
213,IT,32,91205,6,37,43,No
214,Finance,37,103199,2,42,90,No
215,IT,29,50318,11,47,94,No
216,IT,23,58734,7,52,54,No
217,Sales,51,107227,8,33,40,No
218,Sales,51,43522,5,46,87,No
219,HR,33,36656,18,58,86,Yes
220,HR,31,40893,16,34,55,No
221,Finance,32,41493,14,32,93,Yes
222,HR,36,28632,12,33,59,Yes
223,IT,37,113648,17,52,72,Yes
224,Sales,38,86779,5,34,56,Yes
225,HR,47,63452,14,43,44,No
226,HR,23,38266,6,44,44,No
227,Finance,33,86607,15,49,97,No
228,Finance,47,41940,7,46,78,No
229,IT,44,49003,14,35,52,No
230,Sales,39,59815,18,56,83,No
231,Finance,53,55869,1,39,75,No
232,HR,59,74297,6,51,69,No
233,Sales,24,85107,3,52,96,No
234,Sales,59,107793,5,45,43,Yes
235,HR,24,41682,12,46,62,Yes
236,Finance,51,44622,11,43,60,No
237,HR,22,55408,13,49,60,No
238,Sales,51,33837,16,41,45,Yes
239,Marketing,53,89210,18,38,63,Yes
240,Marketing,49,40407,17,44,86,Yes
241,IT,42,54309,17,41,92,No
242,HR,34,96918,11,43,70,No
243,HR,48,118190,10,55,58,No
244,IT,57,43895,16,51,77,Yes
245,IT,28,111912,2,47,51,No
246,IT,43,25370,17,49,53,Yes
247,Sales,31,25486,10,35,89,No
248,HR,36,48762,13,33,99,Yes
249,Sales,36,51613,12,55,51,No
250,IT,25,28196,15,52,95,No
251,HR,53,119937,7,41,95,No
252,Sales,44,101349,13,42,54,No
253,Sales,27,89839,12,48,58,No
254,IT,45,66916,12,51,67,Yes
255,HR,41,33572,2,42,79,No
256,IT,58,53225,5,41,80,No
257,HR,41,70853,2,49,44,No
258,Marketing,33,74390,13,32,44,No
259,Finance,54,57275,3,57,45,No
260,Finance,49,97379,11,32,62,No
261,Finance,29,26105,16,43,42,Yes
262,IT,22,84896,1,47,76,No
263,Marketing,58,68209,19,56,72,Yes
264,HR,43,67487,11,48,82,No
265,Sales,27,43051,9,58,97,No
266,HR,42,119244,14,57,60,Yes
267,Sales,53,102400,9,59,59,No
268,HR,56,91961,7,39,40,No
269,Marketing,36,85156,16,46,78,No
270,Sales,26,82175,3,44,86,Yes
271,IT,27,31849,19,48,56,No
272,HR,46,43976,4,38,68,No
273,HR,50,81866,7,33,47,No
274,Sales,28,72078,12,44,65,No
275,IT,34,56113,18,48,67,Yes
276,IT,59,40401,5,45,73,No
277,Marketing,39,37884,10,37,65,No
278,IT,23,109360,12,46,52,No
279,IT,29,62563,8,50,83,Yes
280,IT,32,59414,19,30,76,No
281,Finance,54,41142,15,36,52,No
282,Marketing,59,96492,1,50,77,No
283,HR,48,104464,3,47,64,No
284,Sales,41,100257,18,41,86,No
285,HR,33,101693,18,45,62,No
286,Marketing,52,60135,2,59,61,Yes
287,Sales,48,97232,5,30,60,No
288,Marketing,53,52862,1,56,93,No
289,IT,31,30190,10,44,69,No
290,Sales,24,95199,10,36,50,Yes
291,IT,48,29331,5,57,43,No
292,HR,56,77186,18,46,72,No
293,HR,52,69648,15,32,86,Yes
294,Sales,36,53549,8,40,51,No
295,Sales,37,106782,17,35,48,No
296,Marketing,34,50761,12,35,71,Yes
297,Marketing,56,28262,12,44,50,No
298,IT,32,76259,1,36,76,No
299,Sales,42,97572,4,40,63,No
300,HR,32,78472,8,59,46,Yes
301,Marketing,51,112858,1,56,47,No
302,Marketing,56,109667,15,46,72,No
303,HR,43,29677,18,52,64,No
304,Marketing,59,98508,1,47,40,No
305,IT,52,105865,11,51,42,No
306,Sales,35,75617,2,58,79,Yes
307,HR,45,111029,1,53,67,No
308,Sales,53,43595,12,58,82,No
309,Marketing,57,112459,16,50,72,No
310,Marketing,53,85148,10,55,85,No
311,HR,36,71926,18,48,40,No
312,IT,56,100271,15,56,77,No
313,Finance,24,59457,17,37,92,No
314,HR,37,67531,10,53,66,No
315,Finance,26,98263,3,49,77,Yes
316,Finance,42,98300,16,37,74,Yes
317,IT,31,88171,6,50,49,No
318,Finance,40,70771,3,58,51,No
319,Finance,46,118135,9,40,49,No
320,IT,25,91354,11,50,93,No
321,Finance,50,62289,13,32,73,No
322,Finance,40,58892,18,52,63,No
323,Finance,23,96196,4,56,67,No
324,HR,31,63409,8,43,61,Yes
325,HR,46,59470,13,56,84,No
326,HR,41,43385,10,38,55,No
327,IT,40,48296,2,54,52,No
328,Marketing,44,86716,8,30,75,Yes
329,Finance,45,114152,6,30,75,Yes
330,Finance,32,51382,16,55,82,No
331,IT,55,101675,18,57,62,No
332,Finance,49,47419,17,41,53,No
333,HR,26,118321,6,40,71,No
334,Marketing,26,106238,13,50,42,No
335,Sales,42,119753,14,30,66,No
336,Finance,33,64291,10,49,58,No
337,HR,25,37397,11,41,61,Yes
338,Sales,41,82888,13,46,96,No
339,Marketing,59,60169,12,44,40,No
340,Sales,46,87182,9,31,44,No
341,HR,35,117476,4,47,88,No
342,Sales,32,67249,7,45,72,Yes
343,IT,53,53341,2,33,90,No
344,Sales,32,100603,7,37,58,No
345,Finance,39,71144,9,31,75,No
346,Finance,48,86772,5,43,90,No
347,IT,39,104360,15,54,45,No
348,HR,44,38444,18,44,99,No
349,Finance,32,70647,4,57,54,No
350,Marketing,42,35974,19,38,75,No
351,Finance,26,63383,7,31,95,No
352,Finance,44,119826,8,46,72,Yes
353,HR,46,106552,17,55,63,Yes
354,Sales,31,119049,13,39,66,No
355,Finance,43,27956,11,38,88,Yes
356,IT,40,33077,1,31,50,Yes
357,Sales,22,61490,2,53,88,No
358,Marketing,28,80612,17,59,62,Yes
359,HR,25,61159,5,48,72,Yes
360,Marketing,22,64710,6,46,80,No
361,Sales,36,108536,7,40,85,No
362,Sales,33,38806,15,46,86,No
363,Sales,43,103345,19,39,95,No
364,Marketing,43,105391,16,47,68,No
365,Sales,38,119924,13,52,70,No
366,Marketing,50,31458,5,57,40,No
367,Sales,35,60524,3,35,73,No
368,IT,41,31853,3,45,57,No
369,Sales,54,65477,19,57,57,No
370,Marketing,36,57222,14,56,45,No
371,Finance,33,43320,16,47,91,Yes
372,Sales,41,119154,17,49,79,No
373,Finance,51,77243,4,47,40,Yes
374,IT,59,70615,13,30,86,No
375,HR,24,42352,8,57,81,No
376,IT,49,97833,19,32,69,No
377,Sales,47,118476,5,44,43,Yes
378,Finance,51,28203,2,49,71,No
379,Finance,34,64267,15,39,49,Yes
380,Marketing,34,62941,2,50,82,No
381,Finance,23,107809,11,34,44,No
382,Marketing,58,50368,13,44,48,Yes
383,HR,59,102186,10,52,44,No
384,Sales,23,55984,3,43,50,Yes
385,Marketing,57,66941,5,44,74,No
386,HR,47,97918,3,39,66,Yes
387,Finance,32,77683,6,53,43,Yes
388,Finance,29,25801,13,38,49,Yes
389,HR,43,72965,10,41,78,Yes
390,Finance,41,110269,19,36,72,No
391,HR,29,34969,8,34,98,No
392,Marketing,50,60969,18,54,77,No
393,Marketing,47,107269,3,53,47,Yes
394,HR,51,57449,17,39,88,No
395,Marketing,38,116679,8,54,63,No
396,Marketing,41,50705,10,55,78,No
397,Marketing,37,85303,2,37,72,No
398,IT,28,53363,12,51,80,No
399,Sales,37,55720,6,49,82,Yes
400,Finance,48,34972,2,54,58,No
401,IT,44,58351,3,45,41,No
402,Marketing,45,61145,17,41,94,No
403,HR,30,112948,7,38,50,Yes
404,Marketing,56,114614,5,39,74,Yes
405,Sales,41,113116,1,45,56,No
406,Marketing,58,81235,8,39,81,Yes
407,HR,38,39855,12,38,42,Yes
408,Sales,52,61169,14,59,61,No
409,Marketing,29,71404,16,55,74,No
410,Sales,36,44569,10,32,60,No
411,Finance,52,79437,15,56,64,Yes
412,Finance,51,73506,15,57,78,No
413,Marketing,41,50738,10,48,41,Yes
414,Sales,33,31772,7,40,40,No
415,HR,38,115410,3,35,46,No
416,Marketing,51,44731,2,35,59,No
417,Finance,50,35131,6,44,82,No
418,Finance,40,91324,9,58,94,No
419,Marketing,32,79097,10,44,45,Yes
420,Sales,55,106720,4,42,94,Yes
421,Finance,28,27889,3,51,75,No
422,Sales,55,34569,9,34,90,Yes
423,Finance,41,112193,17,43,99,No
424,Finance,59,100677,14,50,60,Yes
425,IT,45,110192,10,31,90,No
426,Finance,31,112154,13,59,85,No
427,HR,53,102470,12,52,74,No
428,Marketing,36,113822,1,41,75,No
429,Marketing,58,32612,19,49,47,Yes
430,Sales,41,76644,19,43,89,No
431,Finance,24,57069,6,48,43,No
432,HR,58,106741,13,53,82,Yes
433,Sales,29,52331,19,49,55,No
434,IT,44,80897,13,44,42,No
435,Sales,32,38934,4,56,46,No
436,Sales,29,35095,2,49,41,No
437,Finance,50,116494,15,53,40,No
438,IT,51,43706,12,46,97,No
439,Sales,31,68516,7,54,40,Yes
440,HR,49,59629,18,43,77,No
441,HR,57,71910,13,52,90,No
442,Marketing,34,113540,17,57,46,No
443,IT,53,45431,4,47,63,No
444,IT,57,81733,14,56,44,No
445,Marketing,58,65088,13,57,60,No
446,Sales,47,69135,3,51,67,No
447,IT,43,63015,18,53,57,No
448,HR,25,56385,14,56,63,Yes
449,HR,52,95199,15,34,97,No
450,Finance,39,63677,3,51,71,No
451,IT,59,37818,1,41,84,No
452,Sales,45,113222,17,39,72,Yes
453,Marketing,44,88001,3,37,49,No
454,Marketing,43,48977,14,58,48,No
455,Sales,23,74832,3,35,88,No
456,Finance,52,65931,13,57,72,Yes
457,Marketing,32,108990,15,54,72,No
458,IT,49,103894,18,44,46,Yes
459,Finance,53,97204,14,41,43,No
460,IT,26,70784,3,54,67,Yes
461,HR,59,34921,19,54,62,No
462,Finance,31,59959,8,35,92,Yes
463,Marketing,45,57328,4,41,71,Yes
464,Finance,56,33859,4,44,83,Yes
465,Finance,44,114506,19,41,55,No
466,Finance,38,99408,11,38,85,No
467,Finance,22,109766,1,48,94,No
468,IT,52,51708,8,50,49,No
469,HR,52,43847,15,31,53,No
470,Sales,55,80989,1,57,78,No
471,Finance,30,117641,7,42,75,Yes
472,Marketing,43,29922,11,42,73,Yes
473,Finance,34,94928,14,37,63,No
474,Marketing,46,77335,16,56,57,No
475,IT,39,38541,14,42,55,Yes
476,Marketing,33,44551,12,33,80,Yes
477,Sales,38,44381,17,35,76,Yes
478,HR,36,80673,14,35,80,No
479,Marketing,36,47948,10,50,64,Yes
480,Marketing,36,117264,14,41,47,No
481,HR,34,84072,18,41,63,No
482,Sales,38,92560,9,46,59,No
483,Finance,53,107249,17,56,87,Yes
484,Marketing,30,27486,6,36,69,Yes
485,HR,41,91691,8,55,59,No
486,IT,47,35082,13,44,57,No
487,HR,48,109105,18,53,43,No
488,IT,42,32086,5,46,87,No
489,Sales,39,92853,6,39,75,No
490,Finance,34,95027,19,52,45,No
491,HR,37,40916,4,49,42,No
492,Marketing,30,40248,7,35,57,No
493,Sales,33,93047,4,38,86,Yes
494,HR,59,49226,11,44,79,Yes
495,Marketing,40,50025,12,45,57,Yes
496,HR,28,73380,14,50,95,Yes
497,IT,56,32848,13,37,62,No
498,HR,39,39274,10,45,74,No
499,HR,37,79545,18,34,45,No
500,HR,25,60233,16,47,93,No
501,Sales,46,41304,5,49,65,Yes
502,HR,53,36294,8,43,60,No
503,Marketing,34,51425,14,31,63,Yes
504,IT,38,93711,5,52,54,No
505,IT,58,118311,8,52,66,No
506,HR,27,34425,6,59,71,No
507,Sales,40,116549,16,32,51,No
508,Sales,34,118464,4,43,44,Yes
509,Marketing,47,69990,12,58,46,No
510,HR,35,98746,11,36,61,Yes
511,IT,52,93295,3,44,66,Yes
512,Sales,25,41091,12,46,54,No
513,HR,29,25002,5,30,78,Yes
514,Sales,46,75411,6,38,84,No
515,Sales,34,65958,19,51,96,No
516,IT,53,45707,18,58,74,No
517,Finance,59,40248,16,43,65,Yes
518,Marketing,59,96309,11,45,62,No
519,Marketing,49,103322,5,57,52,No
520,IT,51,76720,9,50,65,No
521,Sales,24,40037,3,42,42,No
522,HR,49,92421,8,35,68,No
523,Sales,24,106867,6,51,41,No
524,IT,55,65612,4,30,67,No
525,Marketing,37,113031,12,50,62,Yes
526,Sales,43,38450,12,54,75,No
527,Marketing,53,34491,16,33,88,No
528,HR,59,99804,10,32,45,No
529,Marketing,29,118293,14,46,50,Yes
530,Marketing,29,31791,13,59,77,No
531,Finance,27,53314,9,31,93,No
532,Finance,35,76883,7,48,73,No
533,Finance,53,119119,12,49,56,Yes
534,Marketing,56,112086,5,52,42,No
535,IT,31,90629,18,51,83,No
536,Marketing,24,34967,4,56,85,No
537,IT,33,106754,2,37,73,No
538,IT,52,68220,3,59,61,No
539,Finance,50,99163,12,54,68,No
540,Sales,26,29947,3,44,99,No
541,HR,46,64419,4,35,93,Yes
542,Finance,52,81131,6,52,68,No
543,Finance,42,113714,12,49,44,Yes
544,Sales,41,53876,19,31,49,Yes
545,HR,43,113444,10,54,49,No
546,Marketing,25,44971,1,54,92,No
547,Marketing,34,87539,17,44,48,No
548,Finance,41,74228,16,49,60,No
549,HR,34,99495,9,41,52,No
550,Finance,38,53261,9,32,49,Yes
551,IT,57,86260,9,39,77,Yes
552,Finance,54,106371,12,43,50,No
553,Finance,22,109793,9,56,43,Yes
554,Marketing,36,28346,15,51,97,No
555,Marketing,34,81176,2,59,85,No
556,Marketing,38,77300,11,43,70,No
557,IT,45,36340,11,32,88,No
558,Marketing,29,58012,8,30,91,Yes
559,HR,48,60393,6,49,73,No
560,Sales,44,100133,7,30,81,Yes
561,HR,29,50557,3,31,74,No
562,HR,29,89204,8,48,78,Yes
563,Marketing,47,98273,18,53,78,No
564,Sales,34,42276,17,39,72,No
565,Sales,58,79639,11,33,47,No
566,Sales,49,32310,2,33,71,No
567,IT,46,60167,19,42,94,No
568,Marketing,37,109880,7,55,72,No
569,Sales,23,35391,18,38,47,No
570,IT,39,75621,8,36,85,No
571,Finance,38,35892,14,45,53,No
572,Finance,51,101733,7,47,73,No
573,IT,34,103586,4,32,47,No
574,IT,53,61142,17,49,90,Yes
575,Marketing,50,70679,5,49,81,No
576,Marketing,51,66615,12,39,46,No
577,Finance,39,72553,9,53,52,No
578,Sales,34,104071,13,55,93,No
579,Finance,42,66002,18,59,60,No
580,Sales,51,95658,9,55,86,No
581,Sales,42,34852,4,51,71,No
582,Marketing,38,30387,8,45,50,No
583,HR,40,64994,1,32,97,No
584,HR,36,58725,17,40,53,No
585,IT,30,97682,9,54,50,No
586,Marketing,31,25560,13,39,41,Yes
587,Sales,52,81565,2,45,73,No
588,HR,44,26312,13,37,83,No
589,Sales,51,43205,9,38,86,No
590,HR,54,36595,6,44,56,No
591,HR,30,112566,1,50,53,No
592,HR,22,46329,5,32,64,No
593,Marketing,56,93187,3,33,87,No
594,Finance,32,100542,4,59,66,No
595,Sales,55,60645,1,42,47,No
596,Marketing,37,112502,14,41,95,No
597,Marketing,30,118382,9,50,56,No
598,Marketing,53,112310,4,38,44,No
599,Marketing,36,94619,18,54,51,No
600,Marketing,33,58513,14,43,77,No
601,IT,54,33749,4,48,57,Yes
602,Sales,35,55783,10,36,65,No
603,Marketing,29,85645,3,45,70,No
604,Sales,29,107861,7,51,76,No
605,IT,48,78175,10,49,45,Yes
606,IT,33,109216,13,34,80,No
607,Sales,22,87709,4,59,54,Yes
608,HR,32,42323,18,39,81,No
609,Finance,52,75762,11,47,88,No
610,HR,38,113220,4,40,65,No
611,HR,54,89222,14,36,90,No
612,HR,53,59493,18,43,51,No
613,Marketing,50,83328,8,49,80,Yes
614,IT,42,37213,10,47,86,No
615,HR,42,71930,5,40,53,No
616,IT,44,52713,7,51,40,No
617,Sales,27,97723,12,56,56,No
618,Finance,43,57583,3,41,72,No
619,Sales,59,104944,4,47,94,No
620,Sales,58,47369,10,55,68,No
621,Marketing,29,72928,4,31,92,No
622,Finance,56,93950,15,52,93,No
623,Sales,32,44510,10,30,84,Yes
624,Sales,45,37120,16,52,70,No
625,Finance,42,30295,15,39,47,No
626,Finance,23,45460,19,50,69,Yes
627,Sales,40,39963,19,30,52,Yes
628,Finance,49,102116,18,35,55,Yes
629,Sales,38,112822,12,36,41,No
630,Sales,27,52328,16,46,84,No
631,Marketing,40,109629,1,38,57,No
632,HR,59,46605,16,36,74,Yes
633,Sales,49,69813,2,46,84,No
634,IT,23,71371,15,32,58,No
635,HR,59,72598,7,45,52,Yes
636,HR,58,85776,1,34,90,No
637,HR,25,97258,5,49,43,No
638,Marketing,43,65969,10,47,58,No
639,Sales,47,61912,4,30,89,No
640,Marketing,57,63374,14,33,64,Yes
641,Sales,34,97302,13,52,77,No
642,Marketing,53,87784,1,40,90,Yes
643,Marketing,38,74882,16,49,96,Yes
644,IT,57,40928,9,38,70,No
645,Marketing,40,46274,16,59,75,No
646,Finance,56,59416,19,37,43,Yes
647,IT,49,111148,15,37,95,Yes
648,Marketing,22,85998,14,34,78,No
649,HR,39,54047,10,41,46,No
650,Finance,54,68356,12,30,97,No
651,Finance,33,62134,1,44,94,No
652,Finance,29,92042,17,54,97,Yes
653,IT,45,76310,9,47,55,No
654,Marketing,37,105758,19,35,98,Yes
655,Marketing,25,37363,18,39,87,No
656,HR,59,110149,7,43,44,Yes
657,HR,48,69563,9,50,86,No
658,Finance,30,55628,12,55,62,No
659,HR,37,94672,7,58,75,No
660,IT,33,71246,14,37,71,Yes
661,Marketing,52,36161,15,56,63,No
662,Finance,45,114110,15,32,64,No
663,HR,35,117438,6,51,84,No
664,IT,46,27810,14,51,67,No
665,IT,55,84860,2,55,58,No
666,HR,24,102199,8,48,46,No
667,Marketing,45,96688,13,41,83,No
668,HR,30,90548,6,41,97,No
669,Finance,47,87363,5,44,80,Yes
670,HR,41,36162,5,57,56,Yes
671,IT,31,112858,1,36,41,No
672,HR,40,98535,9,56,55,No
673,Marketing,24,32219,6,33,78,No
674,Sales,45,95864,7,50,57,No
675,HR,26,28621,9,38,78,No
676,Marketing,24,114792,5,51,40,No
677,Marketing,48,69433,14,45,42,No
678,IT,37,101850,5,55,60,No
679,Marketing,36,91188,8,42,99,No
680,Marketing,56,79951,7,33,69,No
681,Marketing,33,106718,13,53,50,No
682,Marketing,47,61558,13,38,61,No
683,Finance,55,40659,8,55,86,No
684,Finance,44,59413,11,50,96,No
685,IT,52,35435,18,47,64,No
686,HR,41,78911,19,44,42,Yes
687,Marketing,33,53067,6,44,69,Yes
688,HR,44,112794,2,35,63,No
689,HR,25,118823,13,40,84,No
690,IT,44,94224,11,57,75,Yes
691,Marketing,22,98225,1,37,62,No
692,Marketing,46,26379,2,58,93,No
693,Sales,23,52624,17,50,47,Yes
694,HR,51,116500,8,46,93,No
695,HR,24,113427,2,53,43,No
696,Finance,42,82745,6,54,89,Yes
697,Sales,46,76805,5,46,78,No
698,Finance,41,37516,16,53,82,No
699,Finance,43,104422,8,55,70,No
700,Finance,42,110843,19,57,68,No
701,IT,54,49843,16,47,98,Yes
702,IT,59,30912,13,33,75,No
703,Finance,36,46514,7,58,52,No
704,Sales,36,112359,16,44,80,Yes
705,HR,46,82032,16,31,48,No
706,Sales,42,53797,12,31,94,Yes
707,Marketing,45,31449,14,39,60,No
708,IT,26,26725,18,32,90,Yes
709,HR,27,106406,18,59,42,No
710,HR,44,34304,16,37,64,No
711,Marketing,25,98058,16,49,64,No
712,Marketing,48,38663,13,36,51,No
713,Finance,39,95320,9,41,68,No
714,IT,42,100008,9,55,50,No
715,IT,49,119488,13,48,91,Yes
716,Sales,56,100591,4,55,50,No
717,Finance,43,37676,9,57,88,No
718,Finance,44,50192,15,59,65,No
719,Finance,24,49722,14,44,92,No
